iter	Passed	Remaining
0	1	109
1	1	93
2	2	86
3	3	85
4	4	86
5	5	84
6	6	83
7	7	81
8	8	81
9	9	83
10	10	83
11	11	82
12	12	81
13	12	79
14	13	78
15	14	76
16	15	75
17	16	74
18	17	73
19	18	74
20	19	74
21	21	74
22	21	73
23	22	72
24	23	70
25	24	70
26	25	69
27	26	68
28	27	67
29	28	65
30	29	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	37	55
40	38	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	45	46
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	51	41
55	52	40
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	28
70	66	27
71	67	26
72	67	25
73	69	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	78	15
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	97	0
